name,latitude,longitude,timestamp,rainfall in mm
Alexandra Road,1.2937,103.8125,2022-10-17 18:25:00+08:00,0
Ang Mo Kio Avenue 5,1.3764,103.8492,2022-10-17 18:25:00+08:00,0
Bukit Panjang Road,1.3824,103.7603,2022-10-17 18:25:00+08:00,0
Bukit Timah Road,1.3191,103.8191,2022-10-17 18:25:00+08:00,0
Chai Chee Street,1.323,103.9217,2022-10-17 18:25:00+08:00,0
Choa Chu Kang Avenue 4,1.38,103.73,2022-10-17 18:25:00+08:00,0
Clementi Road,1.3337,103.7768,2022-10-17 18:25:00+08:00,0
East Coast Parkway,1.3135,103.9625,2022-10-17 18:25:00+08:00,0
GEYLANG EAST CENTRAL,1.32785,103.88899,2022-10-17 18:25:00+08:00,0
Handy Road,1.2994,103.8461,2022-10-17 18:25:00+08:00,0
Jurong Pier Road,1.3081,103.71,2022-10-17 18:25:00+08:00,0
Kent Ridge Road,1.2923,103.7815,2022-10-17 18:25:00+08:00,0
Kim Chuan Road,1.3399,103.8878,2022-10-17 18:25:00+08:00,0
Kranji Way,1.4387,103.7363,2022-10-17 18:25:00+08:00,0
Lim Chu Kang Road,1.43854,103.70131,2022-10-17 18:25:00+08:00,0
Mandai Lake Road,1.4044,103.78962,2022-10-17 18:25:00+08:00,0
Marina Gardens Drive,1.2799,103.8703,2022-10-17 18:25:00+08:00,0
Marine Parade Road,1.30648,103.9104,2022-10-17 18:25:00+08:00,0
Nanyang Avenue,1.34583,103.68166,2022-10-17 18:25:00+08:00,0
Nicoll Highway,1.30105,103.8666,2022-10-17 18:25:00+08:00,0
Old Choa Chu Kang Road,1.37288,103.72244,2022-10-17 18:25:00+08:00,0
Old Toh Tuck Road,1.3329,103.7556,2022-10-17 18:25:00+08:00,0
Pasir Ris Street 51,1.3662,103.9528,2022-10-17 18:25:00+08:00,0
Poole Road,1.30703,103.89067,2022-10-17 18:25:00+08:00,0
Pulau Ubin,1.4168,103.9673,2022-10-17 18:25:00+08:00,0
Punggol Central,1.4029,103.9092,2022-10-17 18:25:00+08:00,0
SUNSET WAY,1.32311,103.76714,2022-10-17 18:25:00+08:00,0
WEST COAST ROAD,1.30968,103.7578,2022-10-17 18:25:00+08:00,0
PASIR PANJANG ROAD,1.29164,103.7702,2022-10-17 18:25:00+08:00,0
TAMPINES EXPRESSWAY,1.40081,103.88217,2022-10-17 18:25:00+08:00,0
SENGKANG EAST DRIVE,1.38829,103.9116,2022-10-17 18:25:00+08:00,0
KOH SEK LIM ROAD,1.32485,103.95836,2022-10-17 18:25:00+08:00,0
CHANGI EAST CLOSE,1.3136,104.00317,2022-10-17 18:25:00+08:00,0
YISHUN STREET 41,1.42111,103.84472,2022-10-17 18:25:00+08:00,0
WOODLANDS CENTRE ROAD,1.44003,103.76904,2022-10-17 18:25:00+08:00,0
KRANJI ROAD,1.42918,103.75711,2022-10-17 18:25:00+08:00,0
SENNETT AVENUE,1.31835,103.93574,2022-10-17 18:25:00+08:00,0
BUKIT TIMAH ROAD,1.32427,103.8097,2022-10-17 18:25:00+08:00,0
TANJONG RHU ROAD,1.29911,103.88289,2022-10-17 18:25:00+08:00,0
ANG MO KIO AVENUE 10,1.36019,103.85335,2022-10-17 18:25:00+08:00,0
BISHAN STREET 13,1.35041,103.85526,2022-10-17 18:25:00+08:00,0
BUKIT BATOK STREET 34,1.36491,103.75065,2022-10-17 18:25:00+08:00,0
SELETAR GREEN WALK,1.37999,103.87643,2022-10-17 18:25:00+08:00,0
COMPASSVALE LANE,1.38666,103.89797,2022-10-17 18:25:00+08:00,0
HOUGANG STREET 22,1.35691,103.89088,2022-10-17 18:25:00+08:00,0
ALEXANDRA ROAD,1.28987,103.82364,2022-10-17 18:25:00+08:00,0
MARGARET DRIVE,1.29984,103.80264,2022-10-17 18:25:00+08:00,0
UNNAMED ROAD,1.34392,103.98409,2022-10-17 18:25:00+08:00,0
MALAN ROAD,1.27472,103.80389,2022-10-17 18:25:00+08:00,0
WOODLANDS DRIVE 62,1.43944,103.80389,2022-10-17 18:25:00+08:00,0
JURONG WEST STREET 73,1.34703,103.70073,2022-10-17 18:25:00+08:00,0
JURONG WEST AVENUE 1,1.35167,103.72195,2022-10-17 18:25:00+08:00,0
CLEMENTI WEST STREET 2,1.30167,103.76444,2022-10-17 18:25:00+08:00,0
Scotts Road,1.31055,103.8365,2022-10-17 18:25:00+08:00,0
Seletar Aerospace View,1.41284,103.86922,2022-10-17 18:25:00+08:00,0
Sentosa,1.25,103.8279,2022-10-17 18:25:00+08:00,0
Simei Avenue,1.3437,103.9444,2022-10-17 18:25:00+08:00,0
Somerset Road,1.3004,103.8372,2022-10-17 18:25:00+08:00,0
Toa Payoh North,1.3427,103.8482,2022-10-17 18:25:00+08:00,0
Towner Road,1.3214,103.8577,2022-10-17 18:25:00+08:00,0
Tuas Road,1.31985,103.66162,2022-10-17 18:25:00+08:00,0
Tuas South Avenue 3,1.29377,103.61843,2022-10-17 18:25:00+08:00,0
Tuas West Road,1.3247,103.6351,2022-10-17 18:25:00+08:00,0
Upper Changi Road North,1.3678,103.9826,2022-10-17 18:25:00+08:00,0
Upper Peirce Reservoir Park,1.37,103.805,2022-10-17 18:25:00+08:00,0
Upper Serangoon Road,1.3382,103.8657,2022-10-17 18:25:00+08:00,0
Upper Thomson Road,1.3701,103.8271,2022-10-17 18:25:00+08:00,0
West Coast Highway,1.281,103.754,2022-10-17 18:25:00+08:00,0
Woodlands Avenue 9,1.44387,103.78538,2022-10-17 18:25:00+08:00,0
Woodlands Road,1.4172,103.74855,2022-10-17 18:25:00+08:00,0
